,Dataset,Algorithm,Mean Accuracy,Std Dev,Rank,n_components,svd_solver,gamma,kernel,solver,shrinkage,kpca__gamma,kpca__kernel,kpca__n_components,lda__solver
107,moons,kPCA,0.882,0.0280356915377524,7,1,,10.0,rbf,,,,,,
108,moons,kPCA,0.969,0.01743559577416271,5,2,,10.0,rbf,,,,,,
109,moons,kPCA,0.8630000000000001,0.017204650534085267,8,1,,10.0,poly,,,,,,
110,moons,kPCA,1.0,0.0,1,2,,10.0,poly,,,,,,
111,moons,kPCA,0.7819999999999999,0.029765752132274427,16,1,,10.0,cosine,,,,,,
112,moons,kPCA,0.819,0.03624913792078371,13,2,,10.0,cosine,,,,,,
113,moons,LDA,0.833,0.023366642891095836,2,,,,,svd,,,,,
114,moons,LDA,0.8300000000000001,0.01870828693386968,3,,,,,eigen,auto,,,,
115,moons,LDA,0.837,0.021587033144922923,1,,,,,eigen,0.5,,,,
116,moons,kLDA,0.999,0.0020000000000000018,1,,,,,,,0.1,rbf,,svd
117,moons,kLDA,0.794,0.04042276586281547,3,,,,,,,0.1,cosine,,svd
118,moons,kLDA,0.999,0.0020000000000000018,1,,,,,,,1.0,rbf,,svd
119,moons,kLDA,0.794,0.04042276586281547,3,,,,,,,1.0,cosine,,svd
120,blobs,PCA,0.813,0.015362291495737179,4,1,randomized,,,,,,,,
121,blobs,PCA,1.0,0.0,1,2,randomized,,,,,,,,
122,blobs,PCA,1.0,0.0,1,0.95,full,,,,,,,,
123,blobs,PCA,1.0,0.0,1,0.99,full,,,,,,,,
124,blobs,PCA,0.813,0.015362291495737179,4,mle,full,,,,,,,,
125,blobs,kPCA,0.845,0.008944271909999166,14,1,,0.1,rbf,,,,,,
126,blobs,kPCA,1.0,0.0,1,2,,0.1,rbf,,,,,,
127,blobs,kPCA,0.849,0.016552945357246864,13,1,,0.1,poly,,,,,,
128,blobs,kPCA,1.0,0.0,1,2,,0.1,poly,,,,,,
129,blobs,kPCA,0.7389999999999999,0.0243721152139079,16,1,,0.1,cosine,,,,,,
130,blobs,kPCA,1.0,0.0,1,2,,0.1,cosine,,,,,,
131,blobs,kPCA,0.8960000000000001,0.06343500610861481,10,1,,1.0,rbf,,,,,,
132,blobs,kPCA,1.0,0.0,1,2,,1.0,rbf,,,,,,
133,blobs,kPCA,0.8699999999999999,0.02345207879911717,12,1,,1.0,poly,,,,,,
134,blobs,kPCA,1.0,0.0,1,2,,1.0,poly,,,,,,
135,blobs,kPCA,0.7389999999999999,0.0243721152139079,16,1,,1.0,cosine,,,,,,
136,blobs,kPCA,1.0,0.0,1,2,,1.0,cosine,,,,,,
137,blobs,kPCA,0.874,0.10145935146648631,11,1,,10.0,rbf,,,,,,
138,blobs,kPCA,1.0,0.0,1,2,,10.0,rbf,,,,,,
139,blobs,kPCA,0.8220000000000001,0.016911534525287746,15,1,,10.0,poly,,,,,,
140,blobs,kPCA,1.0,0.0,1,2,,10.0,poly,,,,,,
141,blobs,kPCA,0.7389999999999999,0.0243721152139079,16,1,,10.0,cosine,,,,,,
142,blobs,kPCA,1.0,0.0,1,2,,10.0,cosine,,,,,,
143,blobs,LDA,1.0,0.0,1,,,,,svd,,,,,
144,blobs,LDA,1.0,0.0,1,,,,,eigen,auto,,,,
145,blobs,LDA,1.0,0.0,1,,,,,eigen,0.5,,,,
146,blobs,kLDA,1.0,0.0,1,,,,,,,0.1,rbf,,svd
147,blobs,kLDA,1.0,0.0,1,,,,,,,0.1,cosine,,svd
148,blobs,kLDA,1.0,0.0,1,,,,,,,1.0,rbf,,svd
149,blobs,kLDA,1.0,0.0,1,,,,,,,1.0,cosine,,svd
150,digits,PCA,0.2682079851439183,0.015497688846271241,5,1,randomized,,,,,,,,
151,digits,PCA,0.49247756112658614,0.013133124429656388,4,2,randomized,,,,,,,,
152,digits,PCA,0.9705029402661716,0.0045454579503987165,3,0.95,full,,,,,,,,
153,digits,PCA,0.9710569483132158,0.0057596670198568935,2,0.99,full,,,,,,,,
154,digits,PCA,0.972169606932838,0.005594279440964916,1,mle,full,,,,,,,,
155,digits,kPCA,0.29716186939028166,0.01709820185784549,7,1,,0.1,rbf,,,,,,
156,digits,kPCA,0.3973336428350356,0.015586967574636372,4,2,,0.1,rbf,,,,,,
157,digits,kPCA,0.1863989476942123,0.025762843614070333,12,1,,0.1,poly,,,,,,
158,digits,kPCA,0.3043779015784587,0.04451373852799752,6,2,,0.1,poly,,,,,,
159,digits,kPCA,0.27155679356236456,0.016175899279067592,9,1,,0.1,cosine,,,,,,
160,digits,kPCA,0.5214314453729495,0.025113960803430552,1,2,,0.1,cosine,,,,,,
161,digits,kPCA,0.10128133704735376,0.0014591421564020914,15,1,,1.0,rbf,,,,,,
162,digits,kPCA,0.10128133704735376,0.0014591421564020914,15,2,,1.0,rbf,,,,,,
163,digits,kPCA,0.18142061281337046,0.02363040044487367,13,1,,1.0,poly,,,,,,
164,digits,kPCA,0.2966001238006809,0.024372662444246355,8,2,,1.0,poly,,,,,,
165,digits,kPCA,0.27155679356236456,0.016175899279067592,9,1,,1.0,cosine,,,,,,
166,digits,kPCA,0.5214314453729495,0.025113960803430552,1,2,,1.0,cosine,,,,,,
167,digits,kPCA,0.10072423398328692,0.0011765299209996012,18,1,,10.0,rbf,,,,,,
168,digits,kPCA,0.10127978953884247,0.0013468801469943613,17,2,,10.0,rbf,,,,,,
169,digits,kPCA,0.17749613122872177,0.01988823934661744,14,1,,10.0,poly,,,,,,
170,digits,kPCA,0.3055029402661715,0.017356867052458213,5,2,,10.0,poly,,,,,,
171,digits,kPCA,0.27155679356236456,0.016175899279067592,9,1,,10.0,cosine,,,,,,
172,digits,kPCA,0.5214314453729495,0.025113960803430552,1,2,,10.0,cosine,,,,,,
173,digits,LDA,0.9582621479418136,0.00683215175817708,3,,,,,svd,,,,,
174,digits,LDA,0.9643887341380377,0.007113057852280839,1,,,,,eigen,auto,,,,
175,digits,LDA,0.9643856391210152,0.0056761093354351705,2,,,,,eigen,0.5,,,,
176,digits,kLDA,0.7195372949551222,0.019007963325161584,3,,,,,,,0.1,rbf,,svd
177,digits,kLDA,0.959374806561436,0.004178415119606221,1,,,,,,,0.1,cosine,,svd
178,digits,kLDA,0.10795419374806561,0.00588020654263716,4,,,,,,,1.0,rbf,,svd
179,digits,kLDA,0.959374806561436,0.004178415119606221,1,,,,,,,1.0,cosine,,svd
180,wine,PCA,0.8088888888888889,0.038231897736512456,5,1,randomized,,,,,,,,
181,wine,PCA,0.9609523809523809,0.028267341226138717,1,2,randomized,,,,,,,,
182,wine,PCA,0.9550793650793651,0.02227092169482015,3,0.95,full,,,,,,,,
183,wine,PCA,0.9550793650793651,0.02227092169482015,3,0.99,full,,,,,,,,
184,wine,PCA,0.9606349206349206,0.028459215269161203,2,mle,full,,,,,,,,
185,wine,kPCA,0.887936507936508,0.046117599193847704,6,1,,0.1,rbf,,,,,,
186,wine,kPCA,0.9777777777777779,0.027216552697590882,1,2,,0.1,rbf,,,,,,
187,wine,kPCA,0.8257142857142856,0.02184832850132567,8,1,,0.1,poly,,,,,,
188,wine,kPCA,0.9720634920634922,0.02484722784679302,2,2,,0.1,poly,,,,,,
189,wine,kPCA,0.7415873015873016,0.05142612183074639,12,1,,0.1,cosine,,,,,,
190,wine,kPCA,0.9552380952380952,0.02198627575310471,3,2,,0.1,cosine,,,,,,
191,wine,kPCA,0.3087301587301587,0.027974361079441533,17,1,,1.0,rbf,,,,,,
192,wine,kPCA,0.35952380952380947,0.019850791366175857,15,2,,1.0,rbf,,,,,,
193,wine,kPCA,0.7806349206349206,0.023503858043043346,9,1,,1.0,poly,,,,,,
194,wine,kPCA,0.8315873015873017,0.058846731155601746,7,2,,1.0,poly,,,,,,
195,wine,kPCA,0.7415873015873016,0.05142612183074639,12,1,,1.0,cosine,,,,,,
196,wine,kPCA,0.9552380952380952,0.02198627575310471,3,2,,1.0,cosine,,,,,,
197,wine,kPCA,0.33142857142857146,0.00933138949631687,16,1,,10.0,rbf,,,,,,
198,wine,kPCA,0.30317460317460315,0.030680531881522716,18,2,,10.0,rbf,,,,,,
199,wine,kPCA,0.7525396825396825,0.06379570252272368,11,1,,10.0,poly,,,,,,
200,wine,kPCA,0.7692063492063492,0.035851236540761576,10,2,,10.0,poly,,,,,,
201,wine,kPCA,0.7415873015873016,0.05142612183074639,12,1,,10.0,cosine,,,,,,
202,wine,kPCA,0.9552380952380952,0.02198627575310471,3,2,,10.0,cosine,,,,,,
203,wine,LDA,0.9777777777777779,0.020786985482077462,1,,,,,svd,,,,,
204,wine,LDA,0.9720634920634922,0.017571077268107502,3,,,,,eigen,auto,,,,
205,wine,LDA,0.9777777777777779,0.020786985482077462,1,,,,,eigen,0.5,,,,
206,wine,kLDA,0.7019047619047619,0.04399317384462225,3,,,,,,,0.1,rbf,,svd
207,wine,kLDA,0.9888888888888889,0.013608276348795441,1,,,,,,,0.1,cosine,,svd
208,wine,kLDA,0.38904761904761903,0.11232488961225215,4,,,,,,,1.0,rbf,,svd
209,wine,kLDA,0.9888888888888889,0.013608276348795441,1,,,,,,,1.0,cosine,,svd
210,iris,PCA,0.9199999999999999,0.05416025603090639,3,1,randomized,,,,,,,,
211,iris,PCA,0.8533333333333333,0.09797958971132714,4,2,randomized,,,,,,,,
212,iris,PCA,0.8533333333333333,0.09797958971132714,4,0.95,full,,,,,,,,
213,iris,PCA,0.9266666666666665,0.06798692684790378,1,0.99,full,,,,,,,,
214,iris,PCA,0.9266666666666665,0.06798692684790378,1,mle,full,,,,,,,,
215,iris,kPCA,0.8466666666666667,0.07180219742846007,9,1,,0.1,rbf,,,,,,
216,iris,kPCA,0.8866666666666667,0.0748331477354788,1,2,,0.1,rbf,,,,,,
217,iris,kPCA,0.8800000000000001,0.06863753427324665,4,1,,0.1,poly,,,,,,
218,iris,kPCA,0.8733333333333334,0.0928559218478941,5,2,,0.1,poly,,,,,,
219,iris,kPCA,0.7,0.04216370213557838,13,1,,0.1,cosine,,,,,,
220,iris,kPCA,0.7733333333333334,0.08000000000000003,10,2,,0.1,cosine,,,,,,
221,iris,kPCA,0.6533333333333333,0.04988876515698587,16,1,,1.0,rbf,,,,,,
222,iris,kPCA,0.8533333333333333,0.08589399151150084,8,2,,1.0,rbf,,,,,,
223,iris,kPCA,0.8866666666666667,0.06863753427324665,1,1,,1.0,poly,,,,,,
224,iris,kPCA,0.8666666666666666,0.09660917830792956,6,2,,1.0,poly,,,,,,
225,iris,kPCA,0.7,0.04216370213557838,13,1,,1.0,cosine,,,,,,
226,iris,kPCA,0.7733333333333334,0.08000000000000003,10,2,,1.0,cosine,,,,,,
227,iris,kPCA,0.4666666666666667,0.0816496580927726,18,1,,10.0,rbf,,,,,,
228,iris,kPCA,0.5466666666666666,0.054160256030906385,17,2,,10.0,rbf,,,,,,
229,iris,kPCA,0.8866666666666667,0.04988876515698587,1,1,,10.0,poly,,,,,,
230,iris,kPCA,0.8666666666666666,0.10749676997731401,6,2,,10.0,poly,,,,,,
231,iris,kPCA,0.7,0.04216370213557838,13,1,,10.0,cosine,,,,,,
232,iris,kPCA,0.7733333333333334,0.08000000000000003,10,2,,10.0,cosine,,,,,,
233,iris,LDA,0.9466666666666667,0.039999999999999994,2,,,,,svd,,,,,
234,iris,LDA,0.9800000000000001,0.039999999999999994,1,,,,,eigen,auto,,,,
235,iris,LDA,0.9266666666666667,0.038873012632301994,3,,,,,eigen,0.5,,,,
236,iris,kLDA,0.7666666666666668,0.055777335102271744,3,,,,,,,0.1,rbf,,svd
237,iris,kLDA,0.8466666666666667,0.06863753427324669,1,,,,,,,0.1,cosine,,svd
238,iris,kLDA,0.6533333333333333,0.09797958971132714,4,,,,,,,1.0,rbf,,svd
239,iris,kLDA,0.8466666666666667,0.06863753427324669,1,,,,,,,1.0,cosine,,svd
240,ionosphere,PCA,0.6837826961770623,0.03153594757250743,5,1,randomized,,,,,,,,
241,ionosphere,PCA,0.7321529175050301,0.029455640929001842,4,2,randomized,,,,,,,,
242,ionosphere,PCA,0.8661167002012073,0.021234219381895843,1,0.95,full,,,,,,,,
243,ionosphere,PCA,0.8632193158953723,0.03462037106369194,2,0.99,full,,,,,,,,
244,ionosphere,PCA,0.8575050301810865,0.028761067590459728,3,mle,full,,,,,,,,
245,ionosphere,kPCA,0.7548490945674045,0.0818393340813378,7,1,,0.1,rbf,,,,,,
246,ionosphere,kPCA,0.8603219315895373,0.0333293953224688,1,2,,0.1,rbf,,,,,,
247,ionosphere,kPCA,0.641046277665996,0.024177375837559394,15,1,,0.1,poly,,,,,,
248,ionosphere,kPCA,0.8546478873239437,0.0293585018416461,2,2,,0.1,poly,,,,,,
249,ionosphere,kPCA,0.7292957746478873,0.04804694159728326,9,1,,0.1,cosine,,,,,,
250,ionosphere,kPCA,0.8204024144869215,0.034962524679589414,3,2,,0.1,cosine,,,,,,
251,ionosphere,kPCA,0.6438631790744467,0.009256407971958263,13,1,,1.0,rbf,,,,,,
252,ionosphere,kPCA,0.6381488933601609,0.008032781839937492,16,2,,1.0,rbf,,,,,,
253,ionosphere,kPCA,0.6438229376257545,0.013949569187211752,14,1,,1.0,poly,,,,,,
254,ionosphere,kPCA,0.8032595573440643,0.06124100680409849,6,2,,1.0,poly,,,,,,
255,ionosphere,kPCA,0.7292957746478873,0.04804694159728326,9,1,,1.0,cosine,,,,,,
256,ionosphere,kPCA,0.8204024144869215,0.034962524679589414,3,2,,1.0,cosine,,,,,,
257,ionosphere,kPCA,0.6038631790744466,0.08780103147904805,18,1,,10.0,rbf,,,,,,
258,ionosphere,kPCA,0.6467203219315895,0.005563516722541979,12,2,,10.0,rbf,,,,,,
259,ionosphere,kPCA,0.6153722334004025,0.06581225347449537,17,1,,10.0,poly,,,,,,
260,ionosphere,kPCA,0.7492555331991951,0.049294279942846735,8,2,,10.0,poly,,,,,,
261,ionosphere,kPCA,0.7292957746478873,0.04804694159728326,9,1,,10.0,cosine,,,,,,
262,ionosphere,kPCA,0.8204024144869215,0.034962524679589414,3,2,,10.0,cosine,,,,,,
263,ionosphere,LDA,0.8261971830985916,0.021083370216601876,2,,,,,svd,,,,,
264,ionosphere,LDA,0.8290140845070424,0.01607261798025182,1,,,,,eigen,auto,,,,
265,ionosphere,LDA,0.8260362173038229,0.03242362176711631,3,,,,,eigen,0.5,,,,
266,ionosphere,kLDA,0.6095774647887324,0.06483553054456473,4,,,,,,,0.1,rbf,,svd
267,ionosphere,kLDA,0.8603219315895372,0.04916269969744334,1,,,,,,,0.1,cosine,,svd
268,ionosphere,kLDA,0.6185110663983904,0.10303311950496971,3,,,,,,,1.0,rbf,,svd
269,ionosphere,kLDA,0.8603219315895372,0.04916269969744334,1,,,,,,,1.0,cosine,,svd
